1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
5,9,3521,76,532,176,529,527,6,539,538,504,514,524,500,531,521,13,487,497,483,484,5,498,1,487,517,9,27,517,9,1,497,511,6,492,504,4,497,507,506,507,493,491,177,483,483,489,500,505
547,549,522,175,533,176,530,528,536,539,537,504,514,524,501,532,522,512,488,497,482,484,496,498,511,486,516,510,527,517,511,511,498,510,506,492,504,503,497,507,506,509,494,491,177,483,483,489,500,505
547,548,521,176,532,177,531,528,537,53,537,503,514,524,501,531,523,519,488,497,482,485,494,497,510,486,517,510,527,517,511,513,501,509,507,492,503,502,497,506,507,508,493,491,177,483,484,489,500,504
549,548,521,176,532,176,532,528,536,523,537,503,515,525,501,532,523,520,488,497,482,484,494,500,511,487,516516,510,527,518,510,513,500,509,507,491,502,502,497,507,507,508,493,492,177,483,484,489,501,505
548,547,521,176,532,176,532,528,537,524,535,503,514,525,501,532,523,520,487,497,482,485,494,499,511,486,517,508,528,518,511,513,501,508,508,492,502,504,497,505,507,509,493,491,177,483,483,489,500,504
549,548,521,175,532,176,533,528,539,525,534,504,515,524,501,532,524,521,488,497,483,484,495,499,510,486,517,509,529,518,510,512,501,506,509,492,50,503,496,505,507,509,494,491,177,483,484,489,500,504
550,548,521,176,532,176,534,529,539,527,534,504,515,524,499,531,525,520,488,497,482,485,496,498,510,488,517,507,529,518,511,513,503,506,509,492,503,503,496,50,507,509,493,492,177,483,484,489,500,505
549,547,522,176,531,176,534,529,538,531,534,504,515,525,499,531,524,523,488,497,483,485,495,500,511,487,518,507,527,518,510,513,503,506,509,493,503,503,495,500,506,509,493,492,177,483,484,489,500,505
547,546,522,176,532,176,534,8,539,533,521,504,515,525,501,529,525,523,488,497,483,482,495,500,510,487,518,507,526,518,510,512,503,506,510,492,503,502,494,499,2,509,493,492,177,483,484,489,499,504
8,546,522,176,530,176,535,528,537,534,522,504,515,524,501,529,524,522,488,497,482,485,496,500,512,487,518,508,525,518,510,512,502,507,509,493,504,502,494,501,504,509,493,491,177,483,483,489,500,504
550,546,521,176,530,176,535,528,537,534,522,504,515,525,501,529,524,523,488,497,483,485,496,500,512,488,518,509,525,518,509,512,501,506,510,493,504,502,495,502,503,509,493,492,176,483,484,489,499,504
549,54,521,176,529,176,534,528,539,533,522,504,514,525,501,529,52513,524,488,499,483,485,496,500,511,487,518,509,525,517516,509,512,502,506,510,493,504,503,495,504,503,509,493,492,177,483,484,489,499,503
551,552,521,176,528,176,534,529,540,532,522,504,514,525,501,528,513,524,488,498,483,485,496,499,511,487,517,508,524,516,509,512,502,50501,509,492,504,50,494,505,504,509,493,492,493,483,484,489,499,503505
551,553,522,176,528,176,533,529,540,533,521,504,515,525,501,528,513,525,488,497,483,484,49,499,510,487,518,508,525,518,509,512,503,501,496,4484,505,499,495,505,505,510,493,492,493,483,481,489,498,505
551,553,521,176,527,176,530,528,539,532,522,504,514,525,500,528,513,525,488,498,483,485,495,499,510,487,518,508,525,516,508,512,504,501,498,484,505,499,494,506,507,509,494,492,493,482,484,489,49,505
549,552,522,176,525,177,529526,527,539,531,522,504,515,525,500,528,512,526,488,497,483,485,496,499,509,487,518,8,524,517,508,512,503,501,500,484,505,500,494,506,508,509,494,492,493,483,484,489,498,504
548,553,521,17,524,176,527,528,541,532,522,504,6,525,500,528,513,527,488,497,483,485,494,5,510,487,518,498,524,517,508,512,503,501,502,484,505,502,494,507,508,509,494,492,493,483,484,490,498,504
549,552,522,176,524,176,528,527,542,533,522,504,516,524,500,529,513,526,487,498,483,485,496,494,510,486,517,499,523,518,508,8,504,501,501,484,505,502,495,507,508,509,493,491,493,483,484,490,497,504
547,551,522,176,524,176,530,528,542,533,521,504,516,525,500,529,513,528,487,498,483,484,496,494,510,487,518,500,525,517,508,509,504,501,501,484,505,503,4,507,508,509,493,492,493,482,482,492,498,504
546,550,523,176,522,176,529,528,54,533,522,504,516,524,500,530,513,528,487,497,483,485,496,493,509,487,517,502,524,518,507,510,504,501,501,484,504,502,491,508,508,509,494,492,493,484,484,489,499,504
547,551,521,176,522,177,528,528,527,535,521,503,516,524,500,530,513,530,487,497,482,485,495,494,509,487,517,503,524,519,50,511,504,501,502,484,504,503,495,507,507,508,494,491,493,483,484,490,499,504
546,550,521,176,523,176,529,528,526,535,522,503,516,524,500,532,513,530,488,497,483,485,495,495,510,487,517,501,525,518,511,511,504,501,503,484,505,502,496,506,508,5,494,491,494,483,485,489,498,504
546,550,521,176,523,177,531,528,531,535,522,504,516,524,500,531,515,529,487,497,483,484,495,497,510,487,517,502,524,518,510,511,504,501,504,484,504,503,495,507,507,504,494,493,493,483,484,490,500,504
548,551,521,176,523,176,532,528,530,536,522,504,515,524,500,530,515,530,488,497,483,484,496,498,509,486,517,506,524,519,511,510,503489,501,505,484,503,503,496,508,507,503,493,491,493,483,484,490,500,505
547,550,521,176,52,176,532,529,532,536,522,503,515,522,500,515,513,530,487,497,483,484,495,498,510,486,517,508,524527,519,510,511,492,501,506,484,504,504,496,507,507,506,493,491,493,483,484,489,501,504
547,549,521,176,530,176,529,528,534,538,522,504,515,523,499,515,513,513,487,497,483,484,495,497,510,486,517,508,527,517,510,510,492,501,506,484,504,504,496,508,507,507,491,492,493,483,484,490,500,505
547,549,521,176,532,177,530,527,536,539,522,502,514,523,499,515,513,513,487,497,483,484,495,498,496,487,516,509,527,517,509,511,492,502,507,484,504,504,497,507,506,507,493,491,493,483,484,490,500,505
547,549,520,175,533,176,531,528,536,539,522,503,514,523,499,515,513,513,487,497,483,484,496,498,496,486,517,510,527,517,511,511,492,501,507,484,504,503,497,507,506,509,492,491,494,484,484,490,500,504
547,548,520,176,532,176,532,528,537,53518,522,503,514,523,499,515,513,513,487,497,483,484,494,497,496,486,516502,510,527,518,511,513,492,501,508,485,503,502,497,506,507,508,493,491,490,484,484,490,500,505
549,548,520,176,532,176,532,528,536,518,522,503,515,523,499,515,512,513,487,496,482,485,494,500,496,486,502,510,528,518,510,513,492,501,509,485,502,502,497,507,507,508,492,491,493,483,484,489,501,504
548,547,520,176,532,176,533,528,537,517,521,503,514,522,499,511,513,513,487,497,483,485,494,499,496,486,502,508,529,518,511,513,492,501,509,485,502,504,497,505,507,509,492,491,493,484,484,490,500,504
549,548,520,175,532,176,534,528,539,517,522,503,515,523,498,514,513,510,487,497,483,484,495,499,496,486,501,509,529,518,510,512,489,501,509,484,50497,503,496,505,507,509,492,491,493,484,484,490,500,505
550,548,520,176,532,176,534,529,539,519,521,503,515,523,499,515,513,513,487,497,482,485,496,498,496,486,502,507,527,518,511,513,492,501,510,484,496,503,496,50496,507,509,492,491,493,484,484,489,500,505
549,547,520,176,531,527,534,529,538,518,521,499,515,523,499,515,513,514,487,497,482,485,495,500,496,486,502,507,526,518,510,513,493,501,509,484,496,503,495,496,506,509,492,492,493,481,484,490,500,504
547,546,520,176,532,527,535,514,539,519,522,503,515,522,499,516,513,513,487,497,482,484,495,500,496,486,502,507,525,518,510,512,492,502,510,484,497,502,494,496,496,509,493,492,491,483,484,490,499,504
8,546,516,176,530,528,535,514,537,519,521,503,515,522,499,516,513,513,487,497,482,485,496,500,496,486,503,508,525,518,510,512,492,500,510,484,496,502,494,496,496,509,492,491,493,484,484,490,500,504
550,546,520,176,530,528,534,514,537,519,522,503,515,521,500,515,513,513,487,497,482,484,496,500,496,486,502,509,525,517503,509,512,493,501,509,484,497,502,495,495,496,509,493,491,493,484,484,489,499,503
549,54524,519,176,529,527,534,514,539,517,521,502,514,522,499,516,513,513,487,497,482,484,496,500,496,486,503,509,524,503,509,512,492,501,491,484,496,503,495,496,497,509,493,492,493,484,484,489,499,503496
551,524,519,176,528,528,533,514,540,517,522,503,514,522,499,514,513,513,487,497,482,484,496,499,496,486,503,508,525,503,509,512,492,501,491,484,496,50491,494,496,497,509,492,491,493,484,483,489,499,496
551,524,519,176,528,528,530,514,540,518,521,502,515,522,499,516,513,513,487,497,482,483,49483,499,496,486,503,508,525,503,509,512,492,501,491,484,497,491,495,495,496,510,492,491,493,484,484,489,498,496
551,524,518,176,527,527,529520,514,539,519,521,503,514,522,497,516,513,513,487,497,482,484,483,499,497,485,503,508,524,503,508,512,492,501,491,484,497,491,494,495,496,509,492,492,493,484,484,489,49486,496
549,524,519,176,525,528,519,514,539,519,521,503,515,522,499,516,513,513,487,497,482,484,483,499,496,485,503,499,524,503,508,512,492,500,491,484,497,492,494,496,496,509,492,492,493,484,483,489,486,496
548,524,519,17538,524,528,520,514,541,519,521,503,504,522,499,515,512,514,487,497,482,484,483,5487,497,486,503,503,523,504,508,512,492,501,490,484,497,488,494,496,497,509,492,491,493,479,484,489,486,496
549,524,519,540,524,528,520,514,542,516,521,503,504,523,499,515,512,513,487,497,481,484,483,487,496,485,503,502,525,503,508,498,494,501,491,484,497,491,495,496,497,509,493,491,493,484,483,489,486,496
547,524,519,539,524,528,520,514,542,518,521,503,504,522,499,515,512,514,487,497,483,484,483,486,497,486,503,502,524,503,508,498,492,501,491,484,497,491,4494,496,496,509,492,491,491,485,484,489,486,494
546,524,518,539,522,528,520,514,54520,519,521,503,504,522,501,515,512,513,487,497,482,484,483,486,496,485,502,502,524,503,507,498,492,501,491,484,497,491,494,496,497,509,490,491,493,483,483,489,486,496
547,525,519,540,522,529,520,514,521,519,521,503,504,522,499,516,513,513,487,497,482,484,483,487,496,485,503,502,525,503,50492,498,492,501,491,484,497,491,494,496,497,508,493,491,493,483,483,489,486,496
