1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
526,530,523,471,535,3,518,512,37,511,474,6,58,531,1,50,540,477,4,506,491,3,512,471,489,527,476,511,505,555,494,467,494,475,467,500,495,511,502,435,436,37,483,481,479,477,478,433,442,448,9,560,503,529,542
9,530,522,472,535,528,517,513,537,511,474,516,457,531,561,450,540,477,443,506,491,441,512,471,489,527,476,512,505,555,494,467,494,475,468,500,494,511,502,435,436,528,483,481,479,477,478,433,443,448,494,560,503,529,542
528,530,523,472,535,528,517,512,537,511,474,516,457,531,561,451,540,477,443,506,491,441,513,471,489,527,476,512,505,556,494,467,494,475,468,501,494,510,502,435,436,528,483,481,479,477,478,433,443,448,494,560,503,529,542
527,529,523,471,535,528,518,513,537,511,474,516,457,531,561,450,540,477,443,506,491,441,512,472,489,527,476,512,505,556,494,467,494,474,468,501,494,511,502,435,436,528,483,481,479,477,478,433,443,448,494,561,503,528,542
527,530,523,472,535,528,518,512,538,511,474,516,457,531,561,451,540,477,443,506,491,441,512,471,489,527,476,511,505,556,494,467,494,475,468,501,494,510,502,435,434,528,483,481,479,477,478,433,444,448,494,560,503,529,542
527,530,523,472,535,528,518,512,538,511,474,516,457,531,561,451,539,477,443,506,491,441,512,471,489,527,476,512,505,556,494,467,491,475,468,500,494,511,502,435,436,528,483,481,479,477,478,433,443,448,494,561,503,529,541
527,530,523,472,534,528,517,513,538,511,474,516,457,531,561,451,540,478,443,506,491,441,512,471,489,527,476,511,505,556,494,467,494,475,469,501,494,511,502,435,436,528,483,481,479,477,477,433,444,448,494,561,503,529,542
527,530,523,472,534,528,518,513,538,511,474,516,457,531,562,451,540,478,443,506,491,441,512,472,489,527,476,512,505,556,494,467,494,474,469,501,494,510,502,435,436,528,481,481,479,477,475,433,444,448,494,561,503,529,542
527,530,523,472,535,528,517,512,537,511,474,516,457,531,562,451,540,477,443,506,491,441,512,471,489,527,476,511,505,556,494,467,494,473,469,500,494,510,502,435,436,528,483,481,479,477,478,433,444,448,494,561,503,529,542
527,529,523,472,535,528,518,513,537,511,474,516,457,531,562,451,540,477,443,506,491,441,513,471,489,527,476,511,504,555,494,467,493,475,469,500,494,510,500,434,436,528,483,481,479,477,478,433,444,448,494,561,503,528,542
