1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
224,225,231,229,0,229,226,225,228,5,228,228,26,228,237,225,231,243,243,246,242,243,47,229,244,3,238,244,239,2228,228,226,223,2223,223,225,227,25,2225,228,25,2227,225,226,226,26,25,223,224,226,4225,224
224,229,231,229,230,230,226,225,228,225,228,228,226,228,237,224,231,243,243,247,239,243,247,229,244,243,238,244,239,228,229,226,223,223,222,225,227,225,225,228,225,227,225,226,226,226,225,223,224,226,225,224
224,228,231,229,230,230,226,225,228,225,228,228,226,228,237,225,231,243,243,246,242,243,247,229,245,243,241,244,239,228,229,228,223,223,223,225,227,225,225,228,225,227,225,226,225,226,225224,223,224,226,225,224
224,229,231,230,230,230,226,225,227,225,228,228,226,228,237,225,231,243,243,246,242,243,247,229,244,243,239,244,238,228,229,227,223,223,223,225,227,225,225,227,225,227,225,6,225,226,224,223,224,224,225,224
224,229,231,226,229,230,226,225,227,225,228,228,227,228,237,225,231,244,243,246,242,243,247,229,244,242,238,243,239,228,229,226,223,223,223,226,227,225,225,228,225,227,225,226,226,226,224,223,224,226,224,225
224,229,231,229,229,230,226,225,228,225,228,228,227,228,237,225,231,243,243,246,242,2,247,229,244,243,238,244,238,228,229,226,223,223,223,225,227,225,225,228,225,227,225,225,226,226,224,223,224,226,225,225
224,229,231,229,229,230,226,225,228,225,228,228,227,228,237,225,231,243,243,247,242,243,247,229,245,243,238,244,238,228,229,226,223,223,223,224,227,225,225,228228,225,224,225,226,226,226,225,223,224,226,225,225
224,226,231,230,229,230,226,225,227,225,228,228,227,228,237,225,231,243,243,246,242,243,247,229,244,243,238,244,238,228,229,226,223,223,223,225,227,225,225,227,225,227,225,225,226,226,224,223,224,227,225,225
224,226,231,229,229,229,226,225,228,225,228,228,227,228,237,225,231,243,243,246,242,243,247,229,244,243,238,244,239,228,229,226,223,222,223,225,227,225,225,227,225,227,225,226,226,226,224,223,224,227,225,225
224,229,231,229,229,230,226,225,228,225,228,228,227,228,237,225,231,243,243,247,242,243,248,229,244,243,239,244,238,228,229,226,224,223,223,226,227,225,225,227,225,227,225,226,224,226,224,223,224,226,225,225
224,229,231,230,229,230,226,225,228,225,228,228,227,228,237,225,231,243,243,247,242,243,247,229,244,243,238,244,238,228,229,226,223,223,2,226,227,225,225,227,225,227,225,226,226,226,225,223,224,227,225,225
224,229,231,230,230,230,226,225,2,225,228,228,227,228,237,225,231,243,243,247,242,243,247,229,244,243,238,244,239,228,229,226,223,223,222,226,227,225,225,227,225,227,225,225,226,226,224,223,224224,227,225,225
227,229,231,230,230,230,226,225,227,225,228,228,227,228,237,225,232,244,243,247,242,243,247,229,244,243,238,24,239,228,229,226,223,223,222,226,227,225,225,227,225,227,225,226,226,226,224,224,224,226,225,225
224,229,231,230,230,229,226,225225,228,225,228,228,227,228,237,225,231,243,243,246,242,243,247,229,247,243,238,244,238,228,229,226,223,223,222,225,227,225,225,227,225,227,225,226,226,226,224,223,224,227,225,225
224,229,231,229,230,230,226,225,227,225,228,228,227,228,237,225,231,243,243,247,242,243,247,229,245,243,236,244,239,229,229,226,224,223,222,226,227,225,225,228,225,227,225,226,226,226,224,223,224,227,225,225
224,228,231,230,230,230,226,225,227,225,228,228,227,228,238,225,231,244,243,247,242,243,247,229,246,243,238,244,239,228,229,226,223,223,222,227,227,225,225,227,225,227,225,226,226,226,224,224,224,227,225,224
224,229,231,230,230,230,226,225,227,225,228,228,227,229,237,225,232,243,243,247,242,243,248,229,244,243,238,244,239,228,229,227,223,223,223,226,227,225,224,228,225,227,225,226,226,226,224,223,224,227,225,224
224,229,231,230,230,230,226,225,228,225,228,228,22,229,238,225,232,243,243,246,242,243,247,229,245,243,238,243,239,224,229,227,223,223,222,226,227,225,223,227,225,227,225,226,226,227,224,223,224,226,225,224
