1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
553,5,611,9,579,591,6,557,556,553,545,546,565,589,557,5,557,592,596,594,566,578,595,613,598,615,652,631,616,609,649,644,613,576,593,599,580,604,599,597,59,598,593,59,586,597,626,592,585,581,572,5,569,576,564,593,582,572,578,586,595,594,585,576,578,598,590,590,591
553,572,606,589,579,592,590,557,556,553,545,547,565,589,558,561,557,592,596,594,567,579,595,613,597,615,652,631,616,609,648,642,613,576,593,599,581,604,599,597,588,598,593,575,587,597,626,591,584,581,572,571,569,577,564,593,582,573,578,586,596,594,586,576,578,598,590,590,592
553,572,606,590,579,592,589,557,556,553,545,547,564,589,558,562,557,592,599,594,567,579,595,613,597,615,650,631,616,609,649,643,612,576,592,598,580,604,599,598,588,598,593,575,586,598,626,592,584,581,572,571,569,577,564,593,582,572,578,586,597,594,586,575,578,598,590,590,591
553,572,610,590,579,592,589,557,556,553,545,547,565,589,558,561,557,592,599,594,567,579,595,613,597,615,651,631,616,609,648,644,613,576,593,599,580,604,599,597,588,598,593,574,586,597,625,592,585,581,572,571,568,577,564,592,582,573,578,586,597,594,586,576,578,598,590,590,591
553,572,610,590,575,592,589,557,556,553,545,543,565,590,558,562,558,593,599,593,567,579,595,613,598,614,651,631,616,609,649,643,613,575,593,599,580,604,600,597,588,598,593,574,586,598,625,592,584,581,572,571,569,576,564,593,582,573,578,586,597,594,586,576,578,598,589,590,591
553,572,611,589,579,592,589,557,556,553,545,546,565,589,558,562,558,593,599,593,567,579,590,613,597,608,651,631,616,609,649,643,612,576,593,594,580,604,599,598,588,598,593,574,586,598,625,592,584,581,572,571,569,576,564,592,580,572,578,586,597,594,586,575,578,598,589,586,591
553,573,610,589,579,592,589,557,556,548,545,547,565,589,558,562,557,593,599,594,567,580,595,613,598,608,652,632,616,608,648,644,613,576,593,594,580,604,599,597,588,598,593,575,586,598,625,585,585,581,572,567,568,576,564,592,582,573,578,586,597,594,586,575,578,598,590,586,591
553,572,610,589,579,592,589,557,556,554,545,547,565,589,558,562,557,592,599,593,567,580,595,613,598,615,653,631,616,609,649,644,613,576,593,599,580,604,599,598,588,598,593,574,586,597,624,592,584,581,572,567,569,576,564,593,582,573,578,586,597,593,586,575,578,598,590,590,591
553,572,610,590,580,592,589,557,556,554,545,545,565,589,558,562,557,592,599,594,567,578,595,613,598,615,655,632,616,609,649,644,613,576,593,599,580,604,595,598,588,598,593,575,586,598,623,592,584,582,572,571,569,577,564,592,582,572,578,586,597,594,585,575,579,598,589,590,591
554,572,610,590,579,592,589,557,556,554,545,547,565,588,558,561,556,592,599,593,567,579,596,613,598,615,653,631,616,609,649,643,613,576,593,598,580,604,600,598,588,598,593,574,585,598,624,592,585,581,572,571,569,577,563,591,582,572,578,586,597,593,586,575,577,598,589,590,592
