1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2,600,631,76,516,472,364,530,581,567,446,390,410,502,9,517,627,578,535,532,607,59,842,574,443,489,500,97,568,429,633,506,502,482,30,6,396,0,434,384,430,462,4,436,629,470,6,96,446,378,423
572,601,632,576,512,472,364,529,577,567,446,390,411,502,567,517,627,578,533,532,606,559,4,574,442,489,500,597,568,428,634,506,502,483,430,506,396,380,434,384,430,462,504,436,629,470,386,395,446,378,422
572,603,633,577,509,472,364,528,573,567,446,390,410,502,578,517,625,579,531,532,606,559,438,573,443,489,500,597,569,425,634,505,502,483,430,505,396,380,434,384,430,462,504,436,629,470,386,396,446,379,422
5,606,635,576,507,473,364,528,570,568,447,390,411,502,582,517,624,579,529,533,607,559,438,574,443,489,500,597,569,423,633,505,502,482,430,506505,397,380,434,384,430,462,503,436,629,470,386,396,447,378,423
572,609,635,577,506,469,363,528,563,569,447,390,411,502,588,518,622,581,528,533,607,559,438,574,4,489,500,597,569,422,633,505,502,482,430,505,396,380,434,384,430,462,504,436,630,470,386,396,446,378,422
572,612,635,5,507,473,364,528,557,567,447,390,411,502,590,517,623,580,526,533,606,559,438,574,440,489,500,598,569,423,633,506,503,482,430,505,396,380,434,384,430,462,504,436,629,470,386,396,447,379,423
572,613,637,576,508,469,364,528,552,568,447,390,411,502,592,518,620,581,526,535,605,559,438,574,440,489,500,598,569,422,633,505,502,482,430,505,396,380,434,384,430,462,504,436,629,470,386,396,446,378,422
572,616,637,576,508,473,364,528,548,568,447,390,411,502,593,517,621,581,526,535,606,559,439,574,441,489,500,598,570,422,634,506,502,482,430,505,396,380,434,384,430,462,504,436,630,470,386,396,446,378,422
572,616,638,576,508,473,364,528,546,567,448,389,411,502,594,517,621,580,526,536,606,559,439,574,441,489,499,598,570,422,634,505,502,482,430,505,396,379,434,384,430,462,504,436,629,470,387,396,446,378,422
572,616,638,576,510,473,364,529,546,567,447,391,411,502,593,517,622,579,526,536,607,559,438,574,442,488,500,598,569,422,634,505,502,482,430,505,397,380,434,383,430,462,504,436,630,470,386,396,446,378,422
572,617,638,576,512,473,364,530,546,567,447,390,411,499,593,517,622,578,527,537,607,559,439,574,442,489,500,598,569,422,633,506,502,482,430,505,397,380,434,384,430,461,504,436,629,470,386,396,446,379,423
572,618,637,576,513,473,364,530,547,568,447,390,411,504,586,517,622,578,529,537,607,559,439,574,443,489,500,598,570,422,633,505,502,48,430,505,397,380,435,384,430,462,504,436,629,471,387,396,446,378,422
572,617,637,576,514,473,3,530,549,568,4,390,411,502,581,518,622,575,1,8,607,559,440,574,443,489,5,598,569,423,633,505,502,482,430,505,396,380,435,384,430,462,504,436,629,472,386,395,447,378,422
572,617,635,576,515,473,356,530,553,568,445,390,411,502,575,518,622,575,511,539,607,559,440,574,443,488,500,598,569,423,633,505,502,482,430,505,397,380,435,3,430,462,504,436,629,471,386,395,447,378,422
572,617,636,576,515,471,356,530,555,567,446,390,411,502,567,518,622,574,514,539,607,559,441,574,443,489,500,598,570,423,634,505,502,482,430,505,397,380,3,384,430,462,5499,436,629,472,386,395,447,379,422
572,616,634,576,516,473,356,530,558,568,445,390,411,503,563,517,623,574,516,540,607,559,440,574,444,489,500,598,570,424,634,505,502,482,430,505,396,380,434,384,430,462,499,436,62613,472,386,396,446,379,423
572,3,634,576,517,473,357,530,559,568,446,390,411,503,560,518,623,575,520,541,607,559,440,574,443,489,500,598,570,424,634,505,502,482,430,505,397,380,433,384,430,462,499,436,613,472,387,396,447,378,422
572,631,634,576,517,472,359,532,560,569,445,390,411,503,558,518,624,575,522,540,606,559,441,574,443,489,500,598,570,424,634,506505,502,482,430,506,397,380,434,384,430,462,499,436,613,472,387,395,446,379,422
572,627,634,576,516,470,360,532,560,569,445,390,4,503,558,518,62,575,527,541,606,559,441,574,443,489,500,598,570,426,634,505,502,482,430,506,396,380,434,384,430,462,499,437,614,472,386,396,446,378,422
572,622,635,576,516,473,361,532,560,569,445,390,411,503,558,518,625,576,531,540,607,55,441,574,443,489,500,598,570,426,634,505,502,482,430,506,397,380,434,384,430,462,499,436,614,472,386,396,447,379,422
572,618,636,576,514,473,363,532,560,570,445,390,411,501,558,518,626,577,534,539,607,559,441,574,443,489,499,598,570,426,634,506,502,482,430,506,396,380,434,384,430,461,500,436,614,472,387,396,446,379,422
572,612,635,576,514,473,363,532,5556,570,445,390,410,502,561,517,629,578,534,538,607,559,441,574,443,489,500,598,570,426,634,505,502,482,430430,506,396,380,434,384,429,46,500,436,614,472,387,396,447,379,422
572,608,630,576,512,473,363,532,556,570,445,390,410,502,562,518,629,578,535,537,607,559,441,574,442,489,500,598,571,426,634,505,502,482,430,506,396,380,434,384,430,462,499,438,611,472,387,395396,447,379,422
572,603,630,576,5,473,363,5,556,569,446,390,411,502,564,518,630,577,536,535,607,558,441,575,443,489,500,598,571,429,633,506,502,483,430,506,397,380,434,384,430,461,500,437,614,472,387,396,447,379,422
572,599,631,577,525,473,363,530,556,567,446,390,411,502,567,518,628,578,536,534,607,558,441,574,442,489,500,5593,5572,430,634,506,502,483,430,506,396,380381,434,384,430,461,500,438,614,472,386,396,446,379,423
572,598,632,577,519,473,364,530,556,567,446,390,410,502,569559,518,628,580,536,533,606,558,441,574,442,488,500,593,573,429,634,506,502,482,430,506,396,381,434,384,430,462,499,438,614,472,386,396,446,380,422
572,600,633,576,516,473,364,530,557,567,446,390,410,502,567,518,627,580,535,532,607,559,442,573,443,488,500,593,572,430,634,506,502,482,430,506,396,381,434,384,430,462,500,438,614,472,386,395,446,379,422
572,601,635,576,512,473,364,529,556,568,446,390,411,502,578,518,627,580,533,532,607,559,44,574,442,488,500,593,573,430,634,505,501,483,430,505,397,381,434,384,430,462,500,437,614,472,386,396,447,379,423
572,603,635,577,509,473,364,528,556,569,446,390,410,502,582,518,625,580,531,532,606,559,438,574,443,488,500,593,572,430,634,505,502,483,430,506500,396,381,434,384,429,462,500,438,614,472,386,396,446,379,422
5570,606,635,576,507,473,364,528,555,567,447,390,411,502,588,518,624,580,529,533,606,559,438,574,443,488,500,593,572,430,634,505,502,482,430,500,396,381,434,384,429,462,499,438,614,472,386,396,447,379,423
570,609,637,577,506,473,363,528,557,568,447,390,411,502,590,518,622,580,528,533,606,559,438,574,4450,489,500,593,572,430,634,506,502,482,430,500,396,381,434,384,430,462,500,438,614,472,386,396,446,379,422
570,612,637,5575,507,473,364,528,557,568,447,390,411,503,592,518,623,578,526,533,606,559,438,574,451,488,500,593,572,430,632,505,502,482,430,500,396,381,434,384,430,462,500,438,614,472,386,396,446,379,422
570,613,638,574,508,473,364,528,557,567,447,390,411,503,593,518,620,578,526,535,606,559,438,574,450,489,500,593,571,430,633,506,502,482,430,501,396,381,434,384,430,462,500,438,615,473,387,396,446,379,422
570,616,638,574,508,473,364,528,557,567,447,390,411,504,594,518,621,580,526,535,607,559,439,574,450,488,500,593,572,430,634,505,502,482,430,501,397,381,434,384,430,462,500,438,615,473,386,396,446,379,422
570,616,638,575,508,473,364,528,557,567,448,390,411,503,593,518,621,580,526,536,606,559,439,574,451,488,499,593,572,430,634,505,502,482,430,501,397,381,434,384,430,462,499,438,613,473,386,396,446,379,423
570,616,637,575,510,472,364,529,557,568,447,390,411,503,593,518,622,580,526,536,607,559,438,574,451,489,500,593,572,430,634,506,502,482,430,500,396,381,434,383,430,462,500,438,614,472,387,396,446,379,422
570,617,637,575,512,473,364,530,557,568,447,390,411,503,586,518,622,580,527,537,607,559,439,574,451,488,500,593,572,430,633,505,502,482,430,501,397,381,434,384,430,461,497,439,615,473,386,396,447,379,422
570,618,635,574,513,473,364,530,557,568,447,391,411,503,581,518,622,580,529,537,606,559,439,574,451,488,500,594,572,428,634,505,502,48485,430,500,396,381,435,384,430,462,499,438,615,472,386,395,447,379,422
570,617,636,575,514,473,3370,530,552,567,4451,391,411,503,575,518,622,582,531,536,607,559,440,574,451,489,5501,593,573,430,634,505,502,486,430,500,397,381,435,384,430,462,499,438,614,472,386,395,447,379,422
570,617,634,575,515,473,370,530,557,568,450,391,411,503,567,518,622,580,529,536,607,559,440,574,451,489,501,593,571,430,634,505,502,485,430,501,397,381,435,3385,430,462,499,438,613,472,386,395,446,378,423
570,617,634,575,515,473,370,530,559,568,451,391,411,503,563,518,622,580,531,536,607,559,441,573,451,489,501,593,572,430,633,505,502,485,430,501,397,382,434,385,430,462,499,438,613,472,387,396,447,379,422
570,616,634,574,516,473,370,530,557,569,450,391,411,503,560,518,623,580,532,536,606,559,440,573,451,489,501,593,573,430,633,505,502,485,430,501,396,382,434,385,430,462,500,436,612,472,387,396,446,379,422
570,614,634,574,517,473,370,530,557,569,450,390,411,503,558,518,623,580,531,535,607,559,440,574,450,488,501,593,572,430,634,506508,503,485,430,500,397,381,434,385,430,462,499,438,611,472,386,395,446,379,422
570,614,635,575,517,474,370,532,557,569,450,390,411,503,558,518,624,581,532,536,607,559,441,574,451,489,501,593,573,430,633,507,502,485,430,501,397,382,434,385,430,462,499,438,611,472,386,396,446,378,422
570,613,636,575,516,473,370,532,557,570,450,390,4,503,558,517,62615,580,532,535,607,559,441,574,451,486,502,593,573,430,633,508,502,485,430,501,397,382,434,385,430,462,499,438,610,472,387,396,446,379,422
570,613,635,575,516,473,370,532,557,570,450,390,411,502,558,517,614,580,531,536,607,55559,441,574,449,489,501,593,573,430,634,508,502,485,430,501,397,382,434,385,430,462,499,438,609,472,387,396,445,378,422
570,613,631,575,514,473,370,532,557,570,450,390,411,503,561,517,614,581,532,536,607,559,441,574,451,489,502,593,573,430,634,508,502,485,430432,501,397,381,435,385,430,461,500,438,609,473,387,396,445,379,422
570,613,631,575,514,472,370,532,557,569,451,390,410,503,562,518,614,580,532,536,607,559,441,571,450,489,501,593,572,430,633,508,502,485,432,501,397,382,434,385,430,46461,500,436,610,473,387,395398,445,379,422
570,613,631,575,512,473,370,532,557,570,450,393,410,503,564,518,614,581,532,535,607,559,441,574,450,489,501,589,572,430,633,508,504,485,432,501,397,382,434,385,430,461,500,438,610,473,387,397,445,379,423
570,613,631,575,5517,473,370,5529,555,570,451,393,411,503,567,517,614,579,532,534,607,559,441,574,450,488,502,594,572,430,634,508,502,485,432,501,397,382,434,385,430,461,500,438,607,473,387,397,445,379,422
570,613,631,575,517,472,370,530,557,570,450,395,411,503,569571,518,614,581,532,536,606,559,441,574,450,489,501,594,573,428,633,508,502,485,432,501,397,382,435,385,430,461,500,438,611,473,387,398,445,379,422
564,613,631,576,517,475,370,529,557,570,451,395,410,504,571,518,614,581,532,536,606,559,441,574,450,489,501,593,572,430,633,508,502,485,432,500,397,382,435,385,430,461,499,438,611,473,387,397,445,379,423
570,613,631,576,517,473,370,529,557,570,451,394,410,503,571,518,614,581,532,536,607,559,442,574,451,489,501,593,568,430,634,508,502,485,432,501,397,382,435,385,430,461,499,438,611,473,387,398,445,379,422
570,613,631,575,517,473,370,530,557,570,451,394,411,503,571,518,614,581,532,536,607,559,44,574,450,489,501,593,572,430,634,508,502,485,432,501,397,382,435,385,429,461,499,438,611,472,387,398,445,379,423
570,613,631,576,517,473,369,529,557,570,450,393,410,503,571,517,614,581,532,536,607,559,438,574,451,489,501,589,572,430,634,508,502,485,432,501,397,381,435,385,430,461,500,438,612,473,387,398,445,380,422
570,613,631,576,517,473,370,530,557,570,451,392,411,503,571,518,613,580,532,536,607,559,438,574,450,487,501,593,573,430,633,508,502,485,432,501,397,381,435,386,429,461,499,438,612,472,387,398,445,378,422
570,614,631,575,517,473,370,530,557,571,450,392,411,503,571,517,613,581,531,535,607,559,438,574,451,489,501,593,572,430,633,509,502,485,432,501,397,381,435,385,430,460,500,438,611,472,387,398,445,378,422
570,614,631,576,517,473,370,529,557,571,448,392,411,500,571,517,614,581,532,536,607,559,438,574,450,490,502,590,572,430,633,505,502,484,432,501,397,382,435,385,430,461,499,438,611,472,387,397,445,379,422
570,613,631,576,517,473,370,529,557,571,451,392,411,502,571,518,614,581,532,536,606,559,438,575,450,487,500,593,572,430,633,508,502,485,433,501,397,381,434,385,430,461,499,438,611,471,387,398,445,379,423
570,612,628,576,517,473,370,530,557,571,450,392,411,502,571,520,614,580,533,536,607,559,439,574,451,489,501,592,572,430,633,506,502,485,432,500,397,381,436,385,430,461,499,438,610,472,387,397,445,379,422
570,614,631,575,517,473,370,530,557,571,451,392,411,502,571,518,614,580,532,536,607,559,439,574,451,489,501,593,572,430,633,508,502,485,432,501,397,382,434,385,430,461,499,438,610,471,387,398,445,379,422
570,614,632,575,517,473,370,529,557,568,451,392,411,502,571,518,614,581,532,536,607,557,438,574,451,489,501,594,572,428,632,508,502,485,432,502,397,382,435,386,430,461,499,438,610,471,387,398,445,379,422
570,613,632,576,517,473,370,529,557,570,451,391,411,502,571,517,614,580,532,536,607,559,439,574,451,488,501,594,572,430,632,507,502,485,432,502,397,381,435,386,430,461,500,438,609,471,387,398,445,379,422
570,614,632,575,517,473,370,530,557,570,451,391,411,502,571,517,614,581,532,537,607,558,439,571,451,489,501,593,572,430,632,508,502,485,432,501,398,382,434,386,430,461,500,438,608,472,387,398,445,379,423
568,614,632,576,517,473,370,530,557,570,451,390,411,502,572,517,614,580,532,536,606,559,440,574,451,489,501,593,572,430,632,508,502,485,432,501,397,381,434,385,430,461,500,438,608,472,387,397,445,379,422
570,612,626,576,518,473,370,530,556,570,451,390,411,503,572,517,614,579,532,535,607,559,440,574,451,489,501,593,573,430,631,509,502,482,432,501,398,382,435,386,428,461,499,438,610,472,388,398,445,379,422
570,614,631,575,518,473,370,530,557,570,451,390,411,501,570,517,613,580,532,535,606,559,441,574,451,488,501,593,572,430,631,508,502,485,432,501,397,382,434,385,430,461,499,436,607,472,387,398,446,379,419
570,613,631,575,517,473,370,530,557,570,451,390,411,502,572,518,614,581,532,536,606,559,440,574,451,488,501,593,572,430,631,506,500,485,432,501,397,382,435,386,430,461,499,438,607,472,387,398,445,379,421
570,614,625,575,518,473,370,529,557,570,451,390,411,503,572,517,614,580,532,536,607,559,440,574,451,488,501,593,572,430,631,508,503,485,434,501,399,382,434,385,430,461,499,439,607,472,387,398,445,379,421
