1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
513,546,494,17,552,489,6,5,561,439,452,512,539,458,489,471,474,469,5,4465,470,479,474,320,4457,464,7,438,7,516,1,4,428,412,417,333,3,7,427,408,395,442,74,6,470,6,414,375,380,365
513,548,495,517,552,489,509,433,5,438,452,512,539,458,488,471,474,469,505,464,471,479,474,324,457,464,408,438,417,516,9,435,428,412,416,333,384,367,427,408,395,442,374,396,469,436,414,375,379,365
513,547,495,517,552,489,512,431,602,438,451,512,539,458,488473,471,475,469,505,464,471,479,474,327,457,464,410,438,418,516,449,435,429,412,416,333,384,367,427,407,3,443,374,396,470,436,414,375,380,365
513,546,495,518,552,490,514,430,602,438,451,512,539,458,472,471,475464,469,505,464,470,479,474,330,457,464,413,438,418,515,449,436,429,413,416,332,384,367,427,408,394,443,374,396,469,436,413,375,379,365
513,546,495,5,552,490,516,429,602,438,451,512,539,456,471,470,465,469,502,464,471,479,474,333,457,464,416,437,418,515,450,436,42,413,416,333,384,367,427,407,394,443,374,397,469,435,413,375,379,365
513,546,495,507,552,490,516,429,602,438,450,512,539,457,471,470,467,469,503,465,470,479,474,336,457,464,419,438,417,515,450,437,426,413,416,333,384,367,427,408,394,443,374,396,469,436,413,375,379,365
513,547,495,508,552,490,516,429,602,439,450,512,539,458,472,470,469,469,503,465,471,479,474,338,457,465,421,4,418,516,450,437,427,413,416,333,384,367,427,407,394,442,374,396,469,436,414,376,379,365
513,546,494,509,552,490,516,431,602,439,450,5,539,457,473,470,470,468,503,465,470,479,474,340,457,464,423,437,418,515,450,437,427,413,416,333,384,367,428,408,394,442,374,396,469,435434,414,376,379,365
513,546,494,511,552,490,515,431,602,440,450,511,539,458,473,470,471,468,503,464,470,479,474,342,457,464,425,436,418,515,451,437,427,412,417,333,384,366,427,408,394,442,374,396,469,435,414,375,379,365
513,546,493,512,552,490,514,432,602,440,451,511,539,458,476,471,473,469,502,464,471,480,474,342,457,464,426,437,418,515,450,437,427,413,416,333,384,366,428,407,394,441,374,396,470,435,414,375,379,365
513,547,493,513,552,490,512,434,601,441,451,511,540,458,477,470,474,46,502,465,470,480,474,345,457,465,426,437,418,515,451,436,427,413,416,333,384,366,428,407,394,441,374,39,469,435,414,376,379,365
51506,546,493,515,552,490,510,435,595,442,451,511,540,457,480,471,474,466,502,465,470,480,474,348,457,465,426,437,418,515,451,436,427,413,416,333,384,366,428,407,394,441,374,396,469,435,413,376,379,365
506,546,493,517,552,490,509,437,589,443,451,511,540,457,482,471,474,466,502,465,470,479,474,350,457,464,425,437,418,515,451,435,427,412,416,333,384,366,428,408,394,440,374,396,469,435,414,376,379,365
505,546,494,518,552,490,508,438,583,444,451,512,540,458,484,471,474,466,502,465,470,480,474,351,457,465,424,437,418,515,451,435,427,412,417,333,384,366,426,408,394,441,374,396,469,435,413,376,379,365
505,547,494,518,552,490,508,439,579,8,452,512,540,457,486,472,474,466,502,465,470,480,474,219,457,465,423,438,418,515,451,435,427,412,417,333,385,366,428,408,394,441,374,396,469,435,413,376,380,365
506,547,493,518,552,491,507,439,576,429,452,512,540,458,488,472,473,466,502,465,470,481,474,231,457,465,422,438,418,515,451,435,427,412,417,333,384,366,428,409,394,441,374,396,469,435,413,3,380,365
506,547,494,519,553,491,508,4,575,432,452,512,540,457,489,472,473,467,503,465,470,481,474,245,457,465,420,438,418,515,451,435,427,412,417,333,384,366,428,408,394,441,375,396,469,435,413,375,380,365
506,545,494,519,552,491484,508,437,574,435,452,512,540,458,491,472,473,467,503,465,471,481,474,258,457,465,419,438,418,515,451,435,427,412,417,333,385,365,428,407,394,441,375,396,470,435,409,374,379,365
506,547,494,518,552,485,509,443,572,436,452,512,539,458,491,472,473,467,503,465,470,481,474,271,457,465,418,438,417,513,451,435,427,412,417,333,385,365,428,408,394,441,375,396,470,435,408,374,380,365
506,547,494,518,553,486,510,446,571,437,453,512,539,458,491,472,472,468,503,465,470,482,474,284,457,465,418,438,418,513,451,435,428,413,416,333,384,366,428,408,394,442,375,396,470,435,411,375,380,365
506,547,494,518,552,487,511,446,571,437,453453,511,539,457,491,473,472,468,504,465,471,481,474,296,457,465,418,438,418,513,451,435,428,413,416,333,385,366,428,408,394,442,375,396,470,435,409,375,380,365
506,547,494,517,552,487,512,445,571,437,453,512,539,457,490,47475,473,468,505,465,471,481,475,304,458,465,418,438,418417,513,451,435,428,412,417,333,385,366,427,407,394,442437,375,396,470,435,410,375,380,365
506,547,494,517,552,487,513,444,570,438,454,512,539,457,490,475,473,468,504,465,47468,480,475,310,457,465,41422,438,417,513,451,436,428,412,417,333,3385,366,428,408,395,438,375,396,469,435,410,375,380,365
506,546,494,517,552,488,5520,441,570,438,453,512,539,457,490,475,473,469,505,465,468,479,475,316,457,462,422,438,417,513,451,436,428,412,417,333,385,366,428,408,395,439,375,396,469,435,410,374,380,365
506,547,494,517,552,488,520,439,569,438,453,511,539,457,489,475,474,469,505,465,468,478,475,320,457,465,422,438,417,513,451,436,428,412,417,333,382,367,428,408,395,441,375,396,470,435,409,375,379,365
506,547,495,517,552,489,520,438,566,439,453,512,539,456,489,476,474,469,505,464,468,477,475,324,457,465,422,438,417,513,451,43432,428,412,417,333,386,367,428,408,395,442,4,396,9,436,409,375,380,364
506,547,495,517,552,489,520,435,561,439,453,512,539,454,488,475,474,469,505,465,468,478,475,327,457,465,422,438,417,513,451,432,428,412,417,333,385,367,428,408,395,442,374,396,470,436,410,375,380,364
506,547,495,517,552,489,520,433,5568,438,454,512,539,457,488491,475,475,469,505,465,468,478,474,330,457,465,422,438,418,511,451,432,428,413,417,333,385,367,428,407,395,443,374,396,469,436,410,375,380,364
506,548,495,517,552,490,520,431,568,438,453,512,539,456,491,475,475478,469,502,465,468,478,475,333,457,465,422,438,418,513,451,432,429,413,417,333,385,367,427,408,3391,443,374,396,470,436,410,375,380,364
506,546,495,518,552,490,520,430,568,438,454,512,539,456,491,475,478,469,502,465,468,478,475,336,457,465,422,438,418,513,451,432,429,413,418,332,385,367,428,408,391,443,374,396,469,435,410,375,380,364
506,547,495,5516,552,490,520,429,568,438,453,512,539,456,491,475,478,469,503,465,468,478,475,338,457,465,423,437,417,513,451,432,42428,413,418,333,385,367,428,408,391,443,374,397,469,436,410,375,380,364
506,547,491,516,552,490,520,429,568,438,453,512,539,456,491,475,478,469,503,464,468,479,475,340,457,464,422,438,418,513,451,432,427,413,418,333,385,367,428,408,391,442,374,396,469,436,410,375,380,364
