1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
268,240,2254,6,249,246,251,3,47,252,4246,2242,48,240,242,48,245,239,3,241,241,242,39,238,9,240,241,240,240,239,241,7,236,224,237,34,239,237,235,235,235,234,29,6,0,233,35,239,3,236
268,242,254,247,250,246,251,244,246,253,247,242,248,240,242,248,246,240,243,241,241,242,238,239,240,240,241,240,0,240,241,237,236,224,237,234,239,237,235,235,235,234,229,236,230,233,235,239,233,236
268,246,253,247,250,245,251,245,246,253,247,242,248,240,242,247,246,239,243,241,242,242,238,239,239,240,241,240,240,239,241,237,236,225,237,234,239,237,235,235,236,234,230,236,230,234,235,240,233,236
268,250,254,247,249,246,251,246,247,253,247,244,248,237,242,246,246,239,243,241,242,242,238,239,239,240,241,240,240,239,241,6,236,225,237,234,239,237,235,234,235,234,230,236,230,233,235,239,233,236
268,254,254,247,251,245,251,247,246,253,246,242,248,240,242,245,246,239,243,239,242,241,238,238,239,240,241,240,240,239,241,236,236,226,237,235,239,237,235,235,235,234,230,236,230,233,235,239,233,236
268,259,254,247,250,246,251,248,247,252,246,242,248,239,242,2,2,239,2,241,242,242,238,239,239,240,242,24,240,239,241,236,236,226,237,235,239,237,235,235,235,234,230,236,230,233,235,239,233,236
268,263,254,247,250,245,252,24,247,254,247,242,248,240,242,229,245,239,245,241,242,242,238,239,2,240,241,240,240,239,241,236,236,228,237,235,238,237,235,235,235,234234,230,236,2,233,235,239,233,236
259,265,253,247,250,246,251,228,247,253,247,242,248,240,242,229,245,239,244,241,242,242,238,239,239,240,242,240,240,239,241,236,236,229,237,234,239,237,235,235,237,234,230,236,230,233,235,239,234,236
259,268,254,247,250,246,252,228,246,253,247,242,248247,240,242,229,245,240,244,241,241,242,238,240,239,240,241,240,240,239,241,236,236,230,237,234,238,237,235,235,235,233,230,236,230,233,235,240,234233,236
258,270,254,247,250,246,252,228,247,253,247,241,248,240,242,230,245,239,244,241,241,242,238,239,239,240,242,240,240,239,241,236,236,231,237,235,238,237,235,235,235,234,230,236,230,233,235,239,233,236
259,271,254,247,250,246,252,229,246,253,247,243,247,240,242,231,245,239,243,241,241,242,238,238,239,240,241,240,240,240,241,237,236,232,237,235,239,237,235,235,235,234,231,236,230,233,235,240,233,236
258,272,254,247,250,246,252,230,246,253,247,242,248,240,242,232,245,239,243,241,241,242,238,239,240,240,241,240,240,239,241,237,236,233,237,235,239,237,235,235,235,234,232,236,230,233,235,240,233,236
259,272,254,247,250,246,252,230,246,253,247,242,248,240,242,233,245,240,242,241,240,242,2,239,240,240,242,239,239,239,241,237,236,234,7,235,239,237,235,235,236,233,234,236,230,233,236,239,233,236
259,272,253,247,250,246,252,231,247,253,247,242,247,240,242,235,245,239,242,241,241,242,238,239,239,240,242,239,240,239,241,237,236,235,237,235,239,237,235,235,235,234,234,236,230,233,236,240,233,236
259,272,254,247,250,246,252,231,246,253,247,242,247,240,242,237,245,240,242,241,241,242,238,239,240,240,242,240,240,239,241,237,236,235,238,235,239,237,235,235,236,233,235,236,230,233,235,239,233,236
259,272,254,247,250,246,251,232,246,253,247,242,248,240,243,239,245,240,242,241,241,242,238,239,240,240,242,240,239,239,241,237,236,236,237,235,239,237,235,235,234,233,236,236,230,233,236,240,234,236
259,271,254,246,250,246,251,232,247,253,247,242,248,240,243,242,245,240,242,242,241,242,238,239,240,240,242,240,239,240,241,237,235,236,237,235,239,237,235,235,236,234,236,236,230,233,236,240,234,236
259,270,254,246,250,246,252,233,247,253,247,242,247,239,242,244,245,240,243,241,241232,242,238,238,239,240,241,240,239,239,241,237,235,236,237,235,240,237,235,235,235,234,236,236,230,233,235,240,233,236
259,238,254,247,250,246245,252,234,6,253,246,241,248,240,242,246,245,240,242,241,234,242,238,239,239,240239,242,240,240,239,241,237,235,236,237,235,239,237,235,235,235,233,236,236,230,233,235,239,234,236
258,237,254,246,250,245,2250,234,246,253,247,240,248,240,242,248,245,240,242,242,235,242,238,239,239,240,242,240,240,240,241,237,235,236,237,235,239,237,236,235,236,233,235,236,230,233,235235,240,234,236
259,237,254,247,250,245,250,235,246,253,247,242,248,240,242,249,245,239,243,241,237,242,238,239,240,240,242,240,240,239,241,237,235,236,237,235,239,237,235,232,236,233,235,236,230,233,234,240,233,236
259,237,254,246,249,245,250,236,247,253,247,242,248,240,242,250,245,239,243,241,238,242,238,240,239,240,242,240,240,239,241,237,235,237,237,235,239,237,235,235,236,234,234,2236,230,233,233,240,234,235
259,238,254,246,250,245,250,237,247,253,247,242,248,240,242,250,245,239,243,241,239,242,238,239,239,240,242,240,240,239,241,237,235,23235,237,4,240,237,235,235,236,234,234,236,230,233,235,240,233,235
259,239,254,246,250,246,250,239,246,253,247,242,248,240,243,250,245,239,243,241,240,242,238,239,239,240,242,240,240,240,241,237,235,235,237,235,239,237,235,235,235,234,234,236,230,233,235,240,234,235
259,240,254,247,250,246,250,239,246,253,247,242,248,240,242,249,246,240,243,241,240,242,238,239,239,240,242,239,240,239,241,237,235,235,237,234,239,237,234,235,235,234,7,236,229,233,235,240,234,235
259,242,254,247,250,246,250,241,246,253,247,242,248,239,242,249,245,240,243,241,241,241,238,239,239,240,242,240,240,239,241,237,235,235,237,234,239,237,235,234,236,234,228,233,230,2,235,240,233,235
259,246,254,246,250,246,251,243,247,252,247,241,248,240,242,248,245,239,243,241,241,242,239,239,239,240,242,240,240,239,241,237,235,235,237,234,239,237,234,235,235,234,229,236,230,233,235,240,233,236
259,250,254,247,250,245,250,244,246,253,247,242,248,240,242,248,246,240,243,242,242,242,238,239,240,240,242,240,239,240,241,237,235,235,237,234,239,237,235,235,235,234,229,236,230,233,235,240,233,236
259,254,254,247,250,246,251,245,246,253,247,242,248,240,242,247,246,239,243,241,242,242,238,239,239,240,242,240,239,239,241,237,235,235,237,234,237,237,235,235,236,234,230,236,230,234,235,240,233,235
