1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
525,533,525,8,520,548,538,575,91,571,558,592,9,562,621,575,578,582,8,574,584,563,6,580,584,580,583,580,588,597,575,6,569,575,595,592,12,579,591,590,577,577,0,5,570,581,573,580,579,571,5,565,566,579,570,2,568,564,573,599,580,562,572,583,569,568,560,563,558
526,532,525,511,520,548,538,574,591,571,558,592,576,562,621,574,578,584,573,574,584,563,590,580,584,579,583,580,588,597,576,577,569,571,596,593,612,579,591,590,577,577,599,585,570,581,573,582,579,571,574,566,566,578,570,612,567,564,573,599,580,560,572,584,569,568,560,562,558
525,533,525,511,520,548,538,573,590,570,558,591,577,562,621,574,578,584,573,574,584,563,590,580,584,580,583,579,588,597,576,577,569,571,595,592,611,579,592,590,577,577,599,585,568,581,573,582,579,571,574,566,566,579,570,612,567,564,573,598,579,559,572,584,570,567,560,562,558
525,532,525,511,520,547,538,575,590,571,558,592,577,562,621,574,578,583,573,574,584,563,590,580,584,580,583,580,586,597,576,577,569,575,595,593,61,579,591,590,577,576,599,585,570,581,573,582,578,571,574,566,566,579,570,611,567,564,573,599,579,562,572,584,569,568,560,563,558
526,533,524,511,520,547,538,575,589,571,558,592,577,562,620,574,578,584,574,574,586,563,589,580,584,580,583,579,588,597,576,577,569,575,595,593,618,579,592,590,577,576,599,585,570,581,572,582,578,571,574,565,566,579,571,612,567,564,573,598,579,562,571,584,569,568,560,563,558
525,533,525,511,520,550,538,575,589,570,558,592,577,562,620,574,578,584,573,574,584,562,590,581,584,580,583,580,588,597,576,577,569,575,595,592,617,579,592,591,577,576,599,585,570,581,573,582,579,571,573,565,566,579,570,612,567,565,573,598,579,561,572,584,569,567,560,563,558
525,532,525,511,520,549,538,575,589,570,558,592,577,562,619,575,574,584,573,574,584,563,590,580,584,579,584,579,588,597,576,577,569,575,595,592,616,579,592,590,577,576,599,585,570,581,573,582,579,571,572,566,566,579,570,612,567,564,573,598,579,562,572,584,570,568,560,563,558
524,533,525,511,520,548,538,575,588,571,558,591593,577,562,618,575,580,584,573,574,585,563,590,580,584,579,583,580,588,597,576,577,569,575,595,592,616,579,592,590,578,576,598,585,570,581,573,582,579,571,572,566,566,579,570,611,566,564,573,598,579,562,572,584,569,567,560,563,558
524,533,525,511,520,547,538,575,587,571,558,593,577,562,617,574,578,584,573,574,584,563,590,580,584,578,583,579,588,597,576,577,569,575,595,592,616,579,5,590,577,576,598,585,570,581,573,582,579,571,574,565,566,579,569,612,567,564,573,597,579,562,572,584,569,567,560,562,558
525,532,525,511,520,547,538,575,588,571,558,594,577,562,618,574,578,584,573,574,584,563,590,580,583,580,583,580,588,597,576,577,569,575,595,593,615,579,593,592,577,577,598,585,571,581,573,582,579,571,574,566,566,579,570,611,567,564,574,598,579,562,572,584,569,567,560,562,558
