1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
426,508,455,8,5,469,462,453,5,5,473,23,9,450,372,6,479,494,2,461,433,511,479,486,499,486,0,461,485,504,451,430,476,48,471,474,480,42,432,440,448,427,434,4,409,441,463,466,459,454
426,507,455,486,491,469,462,453,502,451,473,421,480,450,372,516,479,494,439,462,433,511,480,486,499,486,490,461,485,503,452,430,476,469,471,474,480,419,433,440,446,429,434,479,409,441,463,466,459,454
426,508,455,486,491,468,462,453,502,452,473,421,479,450,372,515,477,494,439,460,434,512,480,486,499,486,491,461,485,503,452,429,476,472,471,474,480,419,432,441,449,427,434,479,409,441,463,465,460,454
426,508,455,487,492,469,463,453,502,452,474,421,479,450,372,7,480,494,439,458,433,511,479,486,499,486,490,461,485,504,452,428,476,472,471,474,480,419,433,440,449,428,434,479,409,440,464,466,460,454
426,508,455,487,492,469,463,453,501,452,473,421,479,450,372,517,479,494,439,462,433,512,480,486,499,486,491,461,485,503,452,430,476,472,471,474,480,419,432,441,449,428,433,478,409,441,463,465,459,454
424,508,455,486,491,469,462,453,502,451,473,421,479,450,372,517,480,494,439,461,433,511,479,486,499,486,491,461,485,503,452,430,476,472,471,474,480,419,432,441,449,428,434,479,409,441,463,466,459,454
424,508,453,487,492,469,462,453,502,451,474,421,479,448,372,517,479,493,439,462,433,511,480,486,499,486,490,460,485,503,452,430,476,472,471,474,480,419,432,441,449,428,434,479,408,441,464,466,459,454
426,508,455,487,492,469,462,453,502,451,473,421,479,450,372,517,479,495,439,462,434,512,480,486,499,486,492,460,485,503,452,430,476,472,471,474,480,419,432,441,449,428,434,479,408,441,463,466,459,454
425,508,455,487,492,469,463,453,502,450,474,421,479,450,372,517,479,495,440,462,434,512,479,486,499,486,490,461,485,504,451,430,476,470,471,474,480,419,432,441,450,427,434,479,409,441,463,466,459,454
426,508,455,487,492,469,462,453,502,450,474,421,479,450,372,517,481,495,440,459,434,511,479,486,499,486,491,460,485,504,452,430,476,472,471,474,480,419,432,442,450,428,434,478,408,440,464,466,459,454
