1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
598,8,538,53,536,556,516,5,5,526,482,94,5,541,530,6,527,516,3,6,525,535,5,5,541,5,524,531,9,512,528,533,534,5,537,532,1,512,5,529,6,522,532,553,28,2,530,8,499,512,0
598,557,538,525,536,556,516,517,549,526,486,494,512,542,527,536,527,516,527,561,525,535,533,544,541,494,524,531,518,512,527,533,534,535,537,532,510,512,544,529,551,522,532,553,528,511,530,518,499,512,501
597,557,538,525,536,556,516,517,550,526,486,494,512,541,530,536,527,517,527,561,525,536,533,544,541,494,524,531,518,512,528,533,534,535,537,532,510,512,544,530,551,522,532,553,528,511,530,518,500,512,501
597,557,538,525,537,556,516,517,549,526,486,493,512,542,530,536,526,516,527,561,525,535,533,544,541,494,524,531,518,512,527,533,534,535,537,532,510,512,544,529,551,522,532,553,528,511,530,518,499,512,501
597,557,538,525,537,552,516,517,549,526,486,494,512,542,530,536,527,516,527,561,525,535,533,544,541,494,524,531,518,512,527,529,534,535,537,532,510,512,544,527,551,522,532,553,529,511,530,518,499,512,501
597,557,538,524,536,556,516,517,550,526,486,493,512,542,530,536,527,516,527,561,525,535,533,544,541,494,524,531,518,512,527,533,530,530,537,531,510,512,544,529,550,522,533,553,528,511,530,518,500,512,501
597,557,538,525,536,556,516,517,550,526,486,494,512,542,530,536,527,516,527,561,525,535,533,544,541,494,524,531,520,512,527,533,534,534,537,531,510,512,544,529,551,522,532,553,529,512,530,518,499,512,501
597,557,538,525,536,556,516,517,550,526,486,493,513,542,530,536,527,516,527,559,525,535,533,545,541,494,524,531,520,512,527,533,534,535,537,532,510,512,544,529,551,522,532,553,528,512,529,518,500,512,501
597,557,538,525,536,556,516,517,550,526,485,494,513,542,530,536,527,516,527,559,525,535,533,545,541,494,524,532,518,512,527,533,534,534,537,532,510,512,544,529,551,522,533,553,528,512,530,519,500,512,501
596,557,538,525,537,556,516,517,550,526,486,494,513,542,529,536,523,513,527,561,525,535,532,544,541,494,524,531,518,512,527,533,534,535,537,531,510,512,544,529,551,522,532,553,528,511,530,518,500,512,501
