1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
239,34,9,3,240,4,232,239,2,232,34,5,233,237,238,3,237,7,0,239,6,236,37,234,237,3,236,242,238,236,44,243,237,243,45,240,245,238,244,235,242,244,237,243,244,242,237,43,245,243,244
239,235,240,235,240,240,233,239,238,232,234,234,233,237,239,239,237,237,240,239,236,236,237,233,237,235,236,242,237,236,244,243,237,243,244,240,245,238,244,235,242,243,237,243,244,242,237,243,245,244,244
239,2,240,235,241,240,233,239239,238,232,234,235,233,237,239,239,237,237,240,239,236,236,237,234,237,235,236,242,237,236,244,243,237,243,245,240,245,239,244,235,242,243,237,243,244,243,237,243,245,244,244
239,234,240,234,241,240,233,239,238,232,234,235,233,238,239,239,237,237,239,239,236,236,237,234,237,235,236,242,237,236,244,243,237,243,244,240,245,239,245,235,242,243,236,243,244,243,237,243,245,244,244
239,234,240,234,240,240,233,239,238,232,234,235,232,237,238,239,237,237,24,239,236,236,237,234,237,236,236,242,237,236,244,243,237,243,244,240,245,238,244,235,242,243,237,243,244,242,238,243,245,244,244
239,234,240,235,241,240,233,239,238,232,234,235,233,237,238,239,237,237,239,239,236,236,237,234,237,235,236,242,237,236,244,243,237,243,245,240,245,238,245,235,242,244,237,243,244,243,237,243,245,244,244
239,234,240,234,240,240,233,239,238,232,234,235,232,237,238,239,237,237,240,239,236,235,237,234,237,235,236,242,238,236,244,243,237,243,245,240,245,239,245,235,242,244,237,243,244,243,237,243,245,243,244
239,234,240,235,241,240,233,239,238,233,234,235,233,237,239,239,237,237,240,239,236,236,237,234,237,235,236,242,237,236,244,243,237,244,245,240,245,238,245,235,242,243,237,243,244,242,238,243,245,244,245
239,234,240240,235,241,240,232,239,238,232,234,235,233,237,238,239,237,237,240,239,236,236,237,234,237,235,236,242,237,236,244,243,237,243,244,240,245,238,245,236,242,244,237,242,244,243,237,243,245,244,244
239,234,240,234,240,240,233,239,238,232,234,235,233,237,238,238,238,237,240,239,236,236,238,234,237,236,236,242,238,235,244,243,237,243,245,240,245,238,245,235,242,244,237,243,244,242,237,243,245,244,244
