1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
9,257,269,270,267,249,260,264,251,5248,56,246,49,254,0,4,248,246,246,50,251,244,244,51,50,247,49,44,41,4242,5243,241,8,242,6,238,3238,243,3237,39,4240,241,42,240,239,23,6,236,238,236
249,257,270,272,267,249,260,264,251,248,256,246,249,253,250,254,249,246,246,250,251,244,244,251,250,246,249,248,241,242,243,241,248,242,236,238,238,243,237,239,240,241,242,240,239,237,236,237,238,236
249,257,270,273,267,249,260,263,1,248,6,246,249,253,250,254,249,246,246,250,251,244,244,251,250,247,249,248,241,242,244,241,248,242,236,238,239,243,237,2,240,241,242,239,239,237,236,236,238,236
249,257,270,273,267,249,260,262,251,248,256,246,8,253,250,254,248,246,246,250,251,244,244,0,250,248,248,248,241,242,244,241,248,242,236,238,238,243,237236,239,240,241,242,239,239,237,236,236,238,236
249,257,270,273,267,249,260,261,251,248,256,247,249,253,250,254,249,246,246,250,251,244,244,250,250,246,248,247,241,242,243,241,249,242,236,238,238,243,237,239,240,241,242,240,239,237,237,236,238,236
250,257,270,273,267,249,260,260,251,248,256,247,249,255,250,254,247,246,246,250,251,244,244,250,250,247,249,247,241,242,244,242,248,242,236,238,238,243,237,239,241,242,242,239,239,237,237,237,238,236
249,257,269,273,267267,249,260,253,251,249,256,247,249,253,250,255,249,6,245,250,251,244,244,250,250,247,249,247,240,242,244,243,2,242,236,238,238,243,237,239,240,241,242,239,239,237,237,236,238,236
249,257,270,273,267,250,260,253,251,249,256,246,249,254,250,254,248,246,246,250,251,244,244,250,250,246,248,247,240,242,244,241,249,242,236,238,238,243,237,239,240,241,242,239,239,236,6,236,238,236
249,257,270,270,268,248,260,253,250,248,256,247,248,253,250,254,248,246,246,250,251,244,244,250,250,247,249,246,241,242,244,241,248,242,236,238,238,2,237,239,241,241,242,239,239,237,236,236,238,236
249,257,270,273,267,250,260,253,251,248,256,250,249,254,250,254,248,246,246,250,251,244,244,250,250,249,249,246,240,242,244,241,248,242,236,238,239,243,236,239,241,242,242,239,239,237,236,236,238,236
249,257,270,273,267,249,260,252,251,248,256,246,249,254,250,254,248,246,246,250,251,244,244,250,250,247,249,245,241,242,244,241,248,242,236,238,240,243,237,239,241,241,242,239,239,236,237,2234,238,237
249,257,270,273,267,249,260,252,251,248,256,246,248,253,250,254,248,246,248,250,252,244,244,250,25,248,249,244,241,242,244244,241,248,242,236,238,238,243,237,240,240,241,242,2,239,236,237,235,238,237
250,257,270,273,267,249,260,252,251,248,256,246,249,254,0,254,248,246,249,250,252,244,244,250,250,246,248,243,241,242,243,241,248,242,236,238,238,243,236,239,241,241,242,239,239,236,236,235,238,237
249,257,270,273,267,249,260,252,251,249,256,246,249,253,250,254,248,246,245,250,251,244,244,250,250,247,248,243,241,242,243,241,248,242,236,238,239,243,236,239,241,241,242,240,239,237,237,235,238,237
250,257,270,273,267,249,260,252,251,248,256,246,249,254,250,254,249,246,246,250,251,244,244,250,250,246,249,242,240,242,243,242,248,242,236236,238,238,243,237,239,241,241,242,240,239,237,236,235,238,237
249,257,270,270,267,249,260,252,251,248,256,246,249,254,250,254,248,246,246,250,251,244,244,250,250,247,249,243,241,242,243,241,248,242,236,238,238,243,237,240,241,241,241,240,239,237,237,234,238,237
249,257,270,273,267,250,260,252,251,248,256,246,249,254,250,254,248,246,246,250,251,244,244,250,250,247,249,243,241,242,242,241,248,242,236,238,238,243,237,240,241,241,242,240,239,236,237,235,238,237
249,257,270,273,267,249,260,251,251,249,256,247,248,253,250,254,249,246,246,250,251,245,244,250,250,247,249,242,241,242,243,241,248,242,236,238,239,243,237,240,241,241,242,240,239,236,236,235,238,236
249,257,270,273,267,250,260,252,251,249,256,246,249,254,250,254,249,246,246,250,251,244,244,250,250,247,249,243,1,242,243,241,248,242,236,238,238,243,237,240,240,241,242,240,239,236,237,234,238,236
249,257,269,273,267,249,260,252,251,248,257,247,249,254,250,254,249,246,246,250,251,244,244,250,250,247,248,243,241,242,243,241,248,242,237,238,238,243,237,239,241,241,242,240,23,237,236,235,238,237
249,257,270,273,267,249,260,252,251,249,256,246,249,253,250,254,249,246,246,250,251,244,244,250,250,247,249,243,241,242,243,242,248,242,236,238,238,243,237,240,241,241,242,240,239,237,236,235,238,236
2,257,269,273,267,249,260,252,251,248,257,246,249,254,250,254,249,247,246,250,251,244,244,250,250,247,249,243,241,242,243,241,248,243,236,238,238,243,237,239,241,241,242,240,239,237,237,235,238,236
249,257,270,273,267,250,260,25,251,249,256,247,249,253,250,255,249,246,252,250,251,244,244,250,250,247,249,243,241,243,243,241,248,242,236,238,238,243,237,240,241,2,242,240,239,237,237,234,238,236
249,257,269,273,267,249,260,264,251,249,256,247,249,253,250,25,249,246,246,2249,251,244,244,250,250,246,249,243,241,241,243,241,248,242,236,238,238,243,236,239,241,242,242,240,239,237,237,235,238,236
249,2,270,273,267,249,260,265,251,249,256,246,249,253,250,254,249,246,246,250,251,247,244,250,250,247,249,244,241,242,243,241,248,242,236,238,238,243,237,239,240,241,242,240,239,237,237,235,238,236
249,257,2,273,267,250,26252,265,251,248,256,247,249,253,251,254,249,246,244,249,252,245,244,250,250,247,249,242,241,241,243,241,248,243,236,238,238,243,237,240,240,242,242,239,239,237,237,235,237,236
249,257,269,271,267,250,252,264,251,248,256,246,249,254,250,254,249,246,246,247,252,244,244,251,250,247,249,242,241,242,243,241,248,242,236,238,238,243,237,239,241,241,2,240,239,237235,236,235,238,236
249,257,270,273,267,249,252,264,251,248,256,246,249,254,250,254,249,246,246,249,252,244,244,251,250,247,248,241,241,242,244,241,248,242,236,237,238,243,237,239,241,241,242,240,239,235,236,235,239,236
249,257,270,273,267,249,252,263,250,248,2253,249,249,257,250,254,249,246,245,249,252,244,244,251,250,247,248,242,241,242,244,241,248,242,236,238,238,243,237,2238,241,241,242,239,239,235,236,235,238,236
249,257,270,268,267,250,252,262,250,248,254,247,248,254,250,254,249,246,246,249,251,244,244,248,250,247,249,241,241,242,243,241,248,243,236,238,238,243,237,238,240,241,242,239,239,235,236,235,238,236
249,257,270,273,267,252,252,261,250,249,253,247,247,254,250,254,249,246,246,249,252,244,244,249,250,247,249,242,241,243,244,241,249,242,236,238,238,243,237,238,241,241,242,240,239,235,237,235,238,236
250,257,270,273,267258,249,252,260,250,248,253,247,248,252,250,254,249,246,246,249,252,244,244,248,250,247,248,242,241,242,244,241,248,243,236,238,238,243,237,239,241,242,242,239,239,235,237,235,238,236
249,257,269,273,258,249,252,253,249,249,253,247,248,253,250,255,248,244,246,249,252,244,244,249,250,247,249,242,240,242,244,241,24,242,236,238,239,243,237,238,240,241,242,239,239,235,237,234,238,236
249,257,270,273,258,252,252,253,253,249,253,246,248,253,250,254,248,244,246,249,251,244,244,249,250,247,249,242,240,243,244,241,249,242,236,237,238,243,236,238,240,241,242,239,239,235,2235,235,238,236
249,257,270,273,258,250,252,253,250,248,253,247,248,254,250,254,249,245,246,249,252,244,244,247,250,247,249,242,241,242,244,241,248,242,236,238,238,2241,237,238,241,241,242,239,239,235,235,235,238,235
249,257,270,273,258,250,252,253,250,249,253,246,248,253,250,254,251,244,246,249,252,244,244,249,250,247,249,242,240,243,244,241,248,242,236,238,238,241,237,239,241,242,242,239,239,235,235,235,238,235
249,257,270,268,258,252,252,252,250,248,254,247,248,253,250,254,248,244,246,249,252,242,245,249,250,247,248,242,241,242,243,241,248,242,236,238,238,241,236,238,241,241,242,239,239,235,235,235,238,234
249,257,270,273,258,249,252,252,250,248,253,246,247,254,250,254,249,245,246,249,252,244,244,249,25249,247,248,242,241,242,243,241,248,242,236,238,238,241,236,239,241,241,242,2237,239,235,235,235,238,235
